Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Micronesia, Fed. Sts.",FSM,GDP (constant LCU),NY.GDP.MKTP.KN,236601500,231146000,241829300,244006200,250550900,251081200,254030900,249546200,241590200,..
Moldova,MDA,GDP (constant LCU),NY.GDP.MKTP.KN,98964531168.1386,103912387523.073,103560918878.622,108126802466.504,113198807679.203,118068029212.744,122416951603.364,113382357588.023,129193062033.199,..
Monaco,MCO,GDP (constant LCU),NY.GDP.MKTP.KN,4964400000,5321300000,5580100000,5772700000,5570600000,5902400000,6310000000,5491900000,6675600000,..
Mongolia,MNG,GDP (constant LCU),NY.GDP.MKTP.KN,20728128355200,22362588014100,22894780891000,23235863784600,24545640704200,26446671274200,27928278386700,26655376727400,27091663824000,..
Montenegro,MNE,GDP (constant LCU),NY.GDP.MKTP.KN,3249484000,3307445000,3419580000,3520433000,3686473000,3873668000,4031053000,3414024000,3838536000,..
Morocco,MAR,GDP (constant LCU),NY.GDP.MKTP.KN,841223764300,1001454000000,1044963000000,1050409195732.57,1103537823080.65,1137368334717.25,1170249366209.59,1086142612958.19,1172270115541.85,..
Mozambique,MOZ,GDP (constant LCU),NY.GDP.MKTP.KN,517183445500,555447328900,592791601300,615461222600,638487581600,660475905300,675763320300,667425038100,683202888700,..
Myanmar,MMR,GDP (constant LCU),NY.GDP.MKTP.KN,60099726849700,65027702366300,67158841871300,74215745750000,78483199000000,83510030100000,89147341400000,91976676900000,75500945534100,..
Namibia,NAM,GDP (constant LCU),NY.GDP.MKTP.KN,132004415400.505,140046809673.309,146018650059.7,146067996315.479,144567511620.998,146099845480.68,144873841792.703,133231470326.424,136770165886.523,..
Nauru,NRU,GDP (constant LCU),NY.GDP.MKTP.KN,64000000,81000000,84000000,87000000,82000000,87000000,87000000,88000000,89320000,..
Nepal,NPL,GDP (constant LCU),NY.GDP.MKTP.KN,1689572402714.41,1791140757786.61,1862357468528.21,1870423594198.45,2038336745356.76,2193706438428.93,2339742691963.37,2284299666526.91,2381312506015.76,..
Netherlands,NLD,GDP (constant LCU),NY.GDP.MKTP.KN,667251702000,676749332000,690008000000,705131000000,725656676000,742788814000,757314706000,727884821000,763283455000,..
New Caledonia,NCL,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP (constant LCU),NY.GDP.MKTP.KN,237078722000,246124289000,255340000000,264959801000,274440800000,283659869000,289879047000,286247835000,296879108560.054,..
Nicaragua,NIC,GDP (constant LCU),NY.GDP.MKTP.KN,154937000000,162352000000,170132000000,177896000000,186134000000,179873000000,173075000000,169977000000,187560000000,..
Niger,NER,GDP (constant LCU),NY.GDP.MKTP.KN,5142722860800,5484309541000,5725216000000,6053894533200,6356671589500,6815038655700,7219947148600,7476271698200,7579977244300,..
Nigeria,NGA,GDP (constant LCU),NY.GDP.MKTP.KN,63942845560000,67977459215300,69780692718300,68652430364700,69205691115000,70536348621700,72094093995700,70800543492000,73382771385200,..
North Macedonia,MKD,GDP (constant LCU),NY.GDP.MKTP.KN,393263000000,407535000000,423249000000,435304000000,440013000000,452688000000,470390000000,441645000000,459152974500,..
Northern Mariana Islands,MNP,GDP (constant LCU),NY.GDP.MKTP.KN,766000000,798000000,825000000,1066000000,1313000000,1059000000,941000000,..,..,..
Norway,NOR,GDP (constant LCU),NY.GDP.MKTP.KN,2992215000000,3051148000000,3111168000000,3144506000000,3217562000000,3253561000000,3277826000000,3254318000000,3380616000000,..
Oman,OMN,GDP (constant LCU),NY.GDP.MKTP.KN,30992400000,31392900000,32967900000,34631600000,34736900000,35184000000,34786874300,33611177300,34650527900,..
Pakistan,PAK,GDP (constant LCU),NY.GDP.MKTP.KN,28287865663900,29610240777900,31011144936900,32725049000000,34175628000000,36278011000000,37184104000000,36710346000000,39091778000000,..
Palau,PLW,GDP (constant LCU),NY.GDP.MKTP.KN,253300600,269243000,289541400,289300000,277500000,277800000,278900000,253500000,219700000,..
Panama,PAN,GDP (constant LCU),NY.GDP.MKTP.KN,32745000000,34404000000,36376400000,38178200000,40312800000,41798500000,43044000000,35319800000,40736400000,..
Papua New Guinea,PNG,GDP (constant LCU),NY.GDP.MKTP.KN,47721285900,54184547400,57749000000,60919173600,63072429300,62896298100,65714323100,63632900000,63823798700,..
Paraguay,PRY,GDP (constant LCU),NY.GDP.MKTP.KN,171103458311700,180174060876600,185502081243600,193419357992100,202722981633400,209218733463200,208377977311200,206669725095200,215148171623000,..
Peru,PER,GDP (constant LCU),NY.GDP.MKTP.KN,456435000000,467308000000,482506000000,501581000000,514215000000,534626000000,546605000000,486737000000,551714000000,..
Philippines,PHL,GDP (constant LCU),NY.GDP.MKTP.KN,13254643626900,14096046745200,14990907450400,16062675895000,17175978086100,18265190258200,19382750611423.2,17537843279373.3,18538053835090.6,..
Poland,POL,GDP (constant LCU),NY.GDP.MKTP.KN,1659283000000,1722949000000,1798471000000,1851589000000,1946761000000,2062500000000,2154281000000,2110763000000,2255302000000,..
Portugal,PRT,GDP (constant LCU),NY.GDP.MKTP.KN,175161700000,176549314000,179713159000,183342440000,189771059000,195178255000,200414419000,183778988000,193854472000,..
Puerto Rico,PRI,GDP (constant LCU),NY.GDP.MKTP.KN,10559800000,10434100000,10324600000,10194200000,9900000000,9468300000,9626900000,9207800000,9226900000,..
Qatar,QAT,GDP (constant LCU),NY.GDP.MKTP.KN,588469708000,619860584700,649324701300,669221256100,659198967100,667339231900,672509832200,648027449368.838,658335991085.244,..
Romania,ROU,GDP (constant LCU),NY.GDP.MKTP.KN,352291800000,366808600000,378401600000,389214600000,421116600000,446505800000,463710400000,446657400000,469437500000,..
Russian Federation,RUS,GDP (constant LCU),NY.GDP.MKTP.KN,86533099419400,87170214266100,85450590689600,85616100000000,87179270246600,89626606309500,91596666975900,89156753879400,93391328885700,..
Rwanda,RWA,GDP (constant LCU),NY.GDP.MKTP.KN,6042255000000,6414891000000,6983049000000,7399989000000,7694234000000,8354356000000,9144728000000,8837570000000,9799497000000,..
Samoa,WSM,GDP (constant LCU),NY.GDP.MKTP.KN,1843470500,1855636000,1927084700,2080940500,2110204400,2097339600,2190710200,2122613200,1972234800,..
San Marino,SMR,GDP (constant LCU),NY.GDP.MKTP.KN,1139000000,1131000000,1156916927.89822,1184039756.15761,1187097721.95536,1204831837.95557,1229719870.28249,1147969189.99727,..,..
Sao Tome and Principe,STP,GDP (constant LCU),NY.GDP.MKTP.KN,3407180400,3630348500,3772343700,3929453100,4080697000,4200884500,4293760000,4423627676.74566,4506700000,..
Saudi Arabia,SAU,GDP (constant LCU),NY.GDP.MKTP.KN,2358690814419.27,2444841658319.5,2545236486171.13,2587758842395.5,2568569875183.79,2633147980526.86,2641936921744.21,2532622280393.11,2614702789801.54,..
Senegal,SEN,GDP (constant LCU),NY.GDP.MKTP.KN,9202282111400,9775039000000,10397420000000,11059702841500,11877428237600,12614926385500,13196932173700,13371858188100,14182793988700,..
